comName,State Status,Abundance,Sort as,atlasUrl
Tufted Titmouse,,,,https://vabirdatlas.org/species-account/tufted-titmouse/
Horned Lark,,,,https://vabirdatlas.org/species-account/horned-lark/
Bank Swallow,,,,https://vabirdatlas.org/species-account/bank-swallow/
Tree Swallow,,,,https://vabirdatlas.org/species-account/tree-swallow/
Violet-green Swallow,,Accidental,,
Northern Rough-winged Swallow,,,,https://vabirdatlas.org/species-account/northern-rough-winged-swallow/
Brown-chested Martin,2,Accidental,,
Purple Martin,,,,https://vabirdatlas.org/species-account/purple-martin/
Barn Swallow,,,,https://vabirdatlas.org/species-account/barn-swallow/
Cliff Swallow,,,,https://vabirdatlas.org/species-account/cliff-swallow/
Cave Swallow,,Rare,,
Ruby-crowned Kinglet,,,,
Golden-crowned Kinglet,,,,https://vabirdatlas.org/species-account/golden-crowned-kinglet/
Bohemian Waxwing,,Accidental,,
Cedar Waxwing,,,,https://vabirdatlas.org/species-account/cedar-waxwing/
Red-breasted Nuthatch,,,,https://vabirdatlas.org/species-account/red-breasted-nuthatch/
White-breasted Nuthatch,,,,https://vabirdatlas.org/species-account/white-breasted-nuthatch/
Brown-headed Nuthatch,,,,https://vabirdatlas.org/species-account/brown-headed-nuthatch/
Brown Creeper,,,,https://vabirdatlas.org/species-account/brown-creeper/
Blue-gray Gnatcatcher,,,,https://vabirdatlas.org/species-account/blue-gray-gnatcatcher/
Rock Wren,,Accidental,,
Bewick's Wren,,Extirpated,,
Carolina Wren,,,,https://vabirdatlas.org/species-account/carolina-wren/
Northern House Wren,,,,https://vabirdatlas.org/species-account/northern-house-wren/
Winter Wren,,,,https://vabirdatlas.org/species-account/winter-wren/
Sedge Wren,,,,
Marsh Wren,,,,https://vabirdatlas.org/species-account/marsh-wren/
Gray Catbird,,,,https://vabirdatlas.org/species-account/gray-catbird/
Brown Thrasher,,,,https://vabirdatlas.org/species-account/brown-thrasher/
Sage Thrasher,,Accidental,,
Northern Mockingbird,,,,https://vabirdatlas.org/species-account/northern-mockingbird/
European Starling,5,,,https://vabirdatlas.org/species-account/european-starling/
Eastern Bluebird,,,,https://vabirdatlas.org/species-account/eastern-bluebird/
